;emotions.data.angry;emotions.data.disgust;emotions.data.fear;emotions.data.happy;emotions.data.sad;emotions.data.surprise;emotions.data.neutral;ogama_gazepoint.data.trigger
0;0.0-0.0029;0.0-0.0;0.02-0.0107;0.02-0.0023;0.02-0.0209;0.02-0.0;0.02-0.9632;0.0-1.0
1;0.07-0.0101;0.07-0.0;0.07-0.0057;0.07-0.0023;0.07-0.0251;0.07-0.0;0.07-0.9568;0.0-0
2;0.17-0.0154;0.17-0.0;0.17-0.0088;0.17-0.0014;0.17-0.036;0.17-0.0;0.17-0.9384;0.0-0
3;0.26-0.0098;0.26-0.0;0.26-0.007;0.26-0.0001;0.26-0.0255;0.26-0.0;0.26-0.9576;0.0-0
4;0.36-0.0715;0.36-0.0;0.36-0.02;0.36-0.0006;0.36-0.0818;0.36-0.0;0.36-0.8261;0.0-0
5;0.45-0.029;0.45-0.0;0.45-0.0114;0.45-0.0006;0.45-0.0494;0.45-0.0;0.45-0.9094;0.0-0
6;0.52-0.1093;0.52-0.0;0.52-0.1038;0.52-0.0006;0.52-0.2899;0.52-0.0;0.52-0.4963;0.0-0
7;0.59-0.0608;0.59-0.0;0.59-0.0194;0.59-0.0005;0.59-0.1039;0.59-0.0001;0.59-0.8154;0.0-0
8;0.67-0.0533;0.67-0.0;0.67-0.2098;0.67-0.0027;0.67-0.1812;0.67-0.0;0.67-0.5528;0.0-0
9;0.74-0.0172;0.74-0.0;0.74-0.0124;0.74-0.0002;0.74-0.0418;0.74-0.0;0.74-0.9284;0.0-0
10;0.81-0.0475;0.81-0.0;0.81-0.2949;0.81-0.0005;0.81-0.2234;0.81-0.0;0.81-0.4337;0.0-0
11;0.88-0.0748;0.88-0.0001;0.88-0.5276;0.88-0.0026;0.88-0.2607;0.88-0.0001;0.88-0.1341;0.0-0
12;0.95-0.0615;0.95-0.0;0.95-0.0615;0.95-0.0015;0.95-0.3004;0.95-0.0003;0.95-0.5748;0.0-0
13;1.02-0.0706;1.02-0.0;1.02-0.0764;1.02-0.0;1.02-0.3831;1.02-0.0001;1.02-0.4699;0.0-0
14;1.1-0.0045;1.1-0.0;1.1-0.0028;1.1-0.0016;1.1-0.0375;1.1-0.0;1.1-0.9536;0.0-0
15;1.18-0.0384;1.18-0.0;1.18-0.0552;1.18-0.0015;1.18-0.2257;1.18-0.0009;1.18-0.6783;0.0-0
16;1.24-0.1561;1.25-0.0003;1.25-0.1142;1.25-0.0018;1.25-0.3341;1.25-0.0003;1.25-0.3932;0.0-0
17;1.32-0.0215;1.32-0.0;1.32-0.1016;1.32-0.0017;1.32-0.1761;1.32-0.0014;1.32-0.6977;0.0-0
18;1.39-0.0249;1.39-0.0;1.39-0.1275;1.39-0.0002;1.39-0.4027;1.39-0.0003;1.39-0.4444;0.0-0
19;1.47-0.0031;1.47-0.0;1.47-0.0347;1.47-0.0015;1.47-0.0704;1.47-0.0016;1.47-0.8888;0.0-0
20;1.54-0.0097;1.54-0.0;1.54-0.1304;1.54-0.0021;1.54-0.1608;1.54-0.0173;1.54-0.6797;0.0-2.0
21;1.62-0.0214;1.62-0.0;1.62-0.3167;1.62-0.0009;1.62-0.3231;1.62-0.0401;1.62-0.2978;0.0-0
22;1.69-0.1385;1.69-0.0;1.69-0.0408;1.69-0.0003;1.69-0.3063;1.69-0.0;1.69-0.5141;0.0-0
23;1.77-0.0755;1.77-0.0;1.77-0.2329;1.77-0.0006;1.77-0.4512;1.77-0.002;1.77-0.2379;0.0-0
24;1.84-0.0924;1.84-0.0;1.84-0.1008;1.84-0.0001;1.84-0.5166;1.84-0.0;1.84-0.2901;0.0-0
